name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san diego,2025-01-01,64.1,42.5,51.4,64.1,42.5,50.7,45.4,81.8,0,0,0,,0,0,15.2,8,318.4,1018.4,36.2,3.8,155.8,13.5,6,10,2025-01-01T06:51:20,2025-01-01T16:53:33,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-02,76.5,40.2,55.9,76.5,40.2,55.9,37.8,59,0,0,0,,0,0,15,8.4,297,1018.1,0.7,8.7,164.8,14.1,6,10,2025-01-02T06:51:30,2025-01-02T16:54:19,0.1,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-03,68.8,44.6,53.2,68.8,42.5,53.1,41.6,66.5,0,0,0,,0,0,19.7,12.3,256.9,1017.8,13.4,7.9,141.4,12.3,6,10,2025-01-03T06:51:39,2025-01-03T16:55:05,0.14,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-04,62.1,46.2,53.2,62.1,43.8,52.8,45.7,76.4,0,0,0,,0,0,14.8,9.9,353.4,1018.8,35.3,7.5,142.8,12.3,6,10,2025-01-04T06:51:47,2025-01-04T16:55:53,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-05,73.1,43.7,57.1,73.1,40.8,56.9,33.4,49,0,0,0,,0,0,14.8,11.9,335.5,1019.2,0.5,9.7,157.4,13.6,6,10,2025-01-05T06:51:52,2025-01-05T16:56:41,0.21,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-06,74,47.4,59,74,47.4,59,31.7,39.2,0,0,0,,0,0,16.3,10.2,237.5,1017.4,6.3,9.9,163.9,14.1,6,10,2025-01-06T06:51:56,2025-01-06T16:57:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-07,65.9,50,58.9,65.9,50,58.9,39.1,53.4,0,0,0,,0,0,26.4,16,1,1013.1,14.6,9.9,156.3,13.6,6,10,2025-01-07T06:51:58,2025-01-07T16:58:20,0.28,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-08,71.1,51.6,60.9,71.1,51.6,60.9,23.8,24.8,0,0,0,,0,0,27.7,13.5,351.9,1017.1,0.6,9.9,159.3,13.8,6,10,2025-01-08T06:51:58,2025-01-08T16:59:11,0.32,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-09,70.6,42.2,56.7,70.6,39.4,56.3,21.5,27,0,0,0,,0,0,19.7,11.8,8.3,1019.2,0.1,9.9,168.9,14.5,7,10,2025-01-09T06:51:56,2025-01-09T17:00:02,0.35,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-10,71.7,46.5,61.3,71.7,46.5,61.3,20.3,24.9,0,0,0,,0,0,29.6,18,11.1,1023.8,0,9.9,171.9,14.9,7,10,2025-01-10T06:51:53,2025-01-10T17:00:55,0.39,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-11,66.4,43.4,53.1,66.4,40.8,52.5,33.2,48.6,0,0,0,,0,0,15.4,10.3,13.9,1016.9,0.1,9.8,164.1,14.2,6,10,2025-01-11T06:51:48,2025-01-11T17:01:48,0.42,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-12,67.2,44.1,55.1,67.2,44.1,54.8,23.6,33.6,0,0,0,,0,0,19.9,10.3,337.4,1017.3,0,9.9,174.3,15.1,7,10,2025-01-12T06:51:41,2025-01-12T17:02:41,0.46,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-13,66.9,42.1,53.2,66.9,40.2,52.7,15.7,24.1,0,0,0,,0,0,16.8,9.9,357.7,1021.6,1.1,9.8,171.5,14.8,7,10,2025-01-13T06:51:32,2025-01-13T17:03:35,0.5,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-14,69.5,37.2,53.4,69.5,33.5,52.6,10.4,19.8,0,0,0,,0,0,31.1,17.2,57,1023.8,0,9.9,175.9,15.1,7,10,2025-01-14T06:51:21,2025-01-14T17:04:30,0.53,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-15,72,38.1,53.3,72,38.1,53,14.3,22.7,0,0,0,,0,0,17.7,10.2,322.2,1022.2,0,9.9,174.1,14.9,7,10,2025-01-15T06:51:09,2025-01-15T17:05:25,0.56,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-16,62.1,40.9,51,62.1,39.1,50.4,29.7,49.3,0,0,0,,0,0,19.7,11.3,179.5,1021.2,9.2,9.7,117.8,10.2,5,10,2025-01-16T06:50:54,2025-01-16T17:06:20,0.59,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-17,60.2,43.1,50.6,60.2,40.6,50,42,73.5,0,0,0,,0,0,18.8,10.3,181,1022.8,26.3,9.8,166.9,14.3,7,10,2025-01-17T06:50:38,2025-01-17T17:07:16,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-18,60.5,41.1,51.7,60.5,38,51.5,42.8,72.5,0,0,0,,0,0,17,10.3,260.3,1023.2,19.1,9.9,173.2,14.9,7,10,2025-01-18T06:50:21,2025-01-18T17:08:12,0.66,Clear,Clear conditions throughout the day.,clear-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-19,60.2,43.5,52.5,60.2,43.5,52.3,43.9,73.3,0,0,0,,0,0,17.7,11.4,308.5,1021.6,57.2,9.4,153.2,13.3,7,10,2025-01-19T06:50:01,2025-01-19T17:09:08,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-20,64.2,47.1,56.8,64.2,46.2,56.7,32.2,48.2,0,0,0,,0,0,23,13.6,354.4,1021.2,26.7,9.8,166.3,14.4,7,10,2025-01-20T06:49:40,2025-01-20T17:10:05,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-21,71,44.1,57.4,71,40.8,57,4.9,14.5,0,0,0,,0,0,26.4,11.5,349,1027.2,1.9,9.8,184.2,15.9,7,10,2025-01-21T06:49:17,2025-01-21T17:11:02,0.75,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-22,76.5,43.5,57.8,76.5,43.3,57.6,19.1,25.1,0,0,0,,0,0,21,9.9,324.5,1022.3,7.3,9.9,162.4,14,7,10,2025-01-22T06:48:52,2025-01-22T17:11:59,0.79,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-23,75.8,44.7,60.3,75.8,44.3,60.2,1.6,11.2,0,0,0,,0,0,31.8,14.8,5,1023.1,0.8,9.9,188.2,16.3,7,10,2025-01-23T06:48:26,2025-01-23T17:12:56,0.82,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-24,71.7,43.1,54.8,71.7,43.1,54.5,4.8,14.8,0,0,0,,0,0,19,10.3,296.5,1016.8,3.2,9.8,159.3,13.7,6,10,2025-01-24T06:47:58,2025-01-24T17:13:54,0.85,Clear,Clear conditions throughout the day.,clear-day,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-25,60.5,43.4,52.2,60.5,41.6,51.9,31.5,50.4,0,0,0,,0,0,31.3,19.3,178.7,1013.1,46.3,9,129,11.1,7,10,2025-01-25T06:47:28,2025-01-25T17:14:51,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-26,57.6,48.6,53.1,57.6,46.7,53,46.1,77.7,0.184,100,37.5,rain,0,0,24.2,10.3,172.3,1017.2,96.8,9,97.4,8.3,5,10,2025-01-26T06:46:56,2025-01-26T17:15:48,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-27,57,43.5,49.9,57,42.4,48.8,42.5,76.7,0.088,100,12.5,rain,0,0,17,10.6,210.3,1018.5,50.3,9.5,119.7,10.2,5,10,2025-01-27T06:46:23,2025-01-27T17:16:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MPEC1,KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-28,58.6,38.7,48.8,58.6,38.7,48.5,41.3,76.3,0,0,0,,0,0,16.8,11.4,201,1018.2,22.1,9.8,176.3,15.1,7,10,2025-01-28T06:45:49,2025-01-28T17:17:43,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
san diego,2025-01-29,59.4,48,52.6,59.4,46.1,52.2,44.4,74.8,0,0,0,,0,0,13.9,11.3,198.4,1019.9,59,9.3,167.5,14.4,7,10,2025-01-29T06:45:12,2025-01-29T17:18:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNKX,CQ199,KSAN,72290023188,KMYF,72290303131,72293193107"
